rowNumber,supplierNombreSistema,sucursalNombre,montoPagado,fechaPagoOriginal,formaPagoOriginal,errors
"512","Casalta (Porta hermanos)","Calle 13","146468","46028","MP","formaPago es obligatoria cuando montoPagado > 0"
"518","Kyo","Calle 13","201726","46052","MP","formaPago es obligatoria cuando montoPagado > 0"
"540","Kyo","Calle 59","147084","46059","MP","formaPago es obligatoria cuando montoPagado > 0"
"548","Balducci (paltas)","Cocina","52000","46076","MP","formaPago es obligatoria cuando montoPagado > 0"
"561","Pranamar","Calle 13","211841","46052","MP","formaPago es obligatoria cuando montoPagado > 0"
"572","Papel parafinado","Cocina","50300","46037","MP","formaPago es obligatoria cuando montoPagado > 0"
"573","Papel parafinado","Cocina","100600","46045","MP","formaPago es obligatoria cuando montoPagado > 0"
"589","Giraflor","Calle 50","15000","46058","c","formaPago es obligatoria cuando montoPagado > 0"
"593","Kyo","Calle 50","76836","46059","MP","formaPago es obligatoria cuando montoPagado > 0"
"598","La vaca yogui","Calle 59","138180","46059","Deposito+MP Maru","formaPago es obligatoria cuando montoPagado > 0"
"620","Kyo","Calle 13","295980","46059","MP","formaPago es obligatoria cuando montoPagado > 0"
"677","Granix","Calle 59","75362","46064","MP","formaPago es obligatoria cuando montoPagado > 0"
"686","Kyo","Calle 59","167782","46066","MP","formaPago es obligatoria cuando montoPagado > 0"
"726","Kyo","Calle 50","102462","46066","MP","formaPago es obligatoria cuando montoPagado > 0"
"745","Kyo","Calle 13","156613","46066","MP","formaPago es obligatoria cuando montoPagado > 0"
"749","Logica natural felices lv","Calle 13","223953","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"791","Kyo","Calle 59","153558","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"830","Kyo","Calle 50","60005","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"864","Kyo","Calle 13","201610","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"868","Papelera El Vasquito","Cocina","775178","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"895","Distribuidora JM","Calle 59","204802","46078","MP","formaPago es obligatoria cuando montoPagado > 0"
"897","Kyo","Calle 59","199500","46080","MP","formaPago es obligatoria cuando montoPagado > 0"
"907","Distribuidora JM","Calle 50","83983","46078","MP","formaPago es obligatoria cuando montoPagado > 0"
"917","Distribuidora JM","Calle 13","164135","46078","MP","formaPago es obligatoria cuando montoPagado > 0"
"946","Kyo","Calle 50","85520","46080","MP","formaPago es obligatoria cuando montoPagado > 0"
"983","Kyo","Calle 13","285340","46080","MP","formaPago es obligatoria cuando montoPagado > 0"
"1001","Papel parafinado","Cocina","100600","46073","MP","formaPago es obligatoria cuando montoPagado > 0"
"1046","Suqua Fitness","Calle 13","326655","46059","MP Maru","formaPago es obligatoria cuando montoPagado > 0"
